"treatment","bp"
"placebo","97.1976217672389"
"placebo","98.8491125525836"
"placebo","107.793541570746"
"placebo","100.352541957123"
"placebo","100.646438675805"
"placebo","108.575324934416"
"placebo","102.304581029946"
"placebo","93.6746938269673"
"placebo","96.5657357405324"
"placebo","97.7716901495002"
"placebo","106.120408987197"
"placebo","101.799069135287"
"placebo","102.00385725297"
"placebo","100.553413579726"
"placebo","97.2207943262296"
"placebo","108.934565684015"
"placebo","102.489252391146"
"placebo","90.1669142168518"
"placebo","103.506779507818"
"placebo","97.6360429613603"
"placebo","94.6608814700658"
"placebo","98.9101254267085"
"placebo","94.8699777584638"
"placebo","96.3555438535443"
"placebo","96.8748036607537"
"placebo","91.5665334462879"
"placebo","104.188935222473"
"placebo","100.766865589183"
"placebo","94.3093153149403"
"placebo","106.26907460535"
"control","100.132321107384"
"control","96.5246425850386"
"control","102.475628305225"
"control","102.390667437665"
"control","102.107905408187"
"control","101.4432012705"
"control","100.769588267688"
"control","97.6904414471164"
"control","96.4701866813004"
"control","96.0976449949381"
"control","94.5264651053974"
"control","96.960413609902"
"control","91.6730182421587"
"control","108.844779826693"
"control","104.039809991525"
"control","92.3844570839832"
"control","95.9855758235046"
"control","95.6667232318839"
"control","101.899825591682"
"control","97.5831546676409"
"control","99.2665925699738"
"control","97.8572662232565"
"control","97.7856477135434"
"control","104.843011420072"
"control","96.8711450717037"
"control","105.582353022148"
"control","90.2562359788489"
"control","100.92306874818"
"control","98.6192712192231"
"control","99.0797078437199"
"new","99.8981974137994"
"new","95.4883827344535"
"new","96.3339630816529"
"new","92.9071230844646"
"new","92.6410438676221"
"new","99.5176432070213"
"new","100.241048893147"
"new","98.2650211336525"
"new","102.611337339399"
"new","108.250423428136"
"new","95.5448441697173"
"new","86.4541556217959"
"new","103.028692622311"
"new","94.453996187088"
"new","94.5599569176632"
"new","103.127856848483"
"new","96.576134964745"
"new","91.8964114387273"
"new","98.9065173987457"
"new","97.3055431878048"
"new","98.0288209294994"
"new","99.9264020056317"
"new","96.146699841038"
"new","101.221882742594"
"new","96.8975671909062"
"new","99.6589098195785"
"new","103.484195065747"
"new","100.175907454169"
"new","96.3703420723439"
"new","103.744038092255"
"revol","144.967519279811"
"revol","142.74198479754"
"revol","141.193658675557"
"revol","136.860469619803"
"revol","146.80326224265"
"revol","136.998702064264"
"revol","150.936664965083"
"revol","147.663053130926"
"revol","138.821498204498"
"revol","134.867895498466"
"revol","136.447967181503"
"revol","141.284418545783"
"revol","138.766540607688"
"revol","138.262287003011"
"revol","135.241907163675"
"revol","139.774861375955"
"revol","136.075477652715"
"revol","131.660290317059"
"revol","138.098867398561"
"revol","144.594983045304"
"revol","137.123265186958"
"revol","143.039821611125"
"revol","131.910586458554"
"revol","139.722190172377"
"revol","142.597036019717"
"revol","141.505766810834"
"revol","140.528380970745"
"revol","136.796469958473"
"revol","135.751478269832"
"revol","134.879356046975"
